statut_commercialisation,specialite,dosage,forme,presentation,class_therapeutique,PPV
Commercialisé,BAITANET D,10 G,SOLUTION DERMIQUE,BIDON DE 5 L,DERMATOLOGIE-VENEROLOGIE,275
Commercialisé,BAITANET D,10 G,SOLUTION DERMIQUE,FLACON DE 120 ML,DERMATOLOGIE-VENEROLOGIE,"14,1"
Commercialisé,BAITANET D,10 G,SOLUTION DERMIQUE,FLACON DE 550 ML,DERMATOLOGIE-VENEROLOGIE,"38,3"
Commercialisé,BAITANET G,10 G,SOLUTION GYNECOLOGIQUE,FLACON DE 120 ML,DERMATOLOGIE-VENEROLOGIE,14
Commercialisé AO,BAITANET G,10 G,SOLUTION GYNECOLOGIQUE,FLACON DE 550 ML,DERMATOLOGIE-VENEROLOGIE,"38,3"
Commercialisé AO,BAITANET SCRUB,"0,04",SOLUTION MOUSSANTE POUR APPLICATION CUTANEE,FLACON DE 125 ML,DERMATOLOGIE-VENEROLOGIE,"15,1"
Commercialisé AO,BAITANET SCRUB,"0,04",SOLUTION MOUSSANTE POUR APPLICATION CUTANEE,FLACON DE 500 ML,DERMATOLOGIE-VENEROLOGIE,"36,5"
Commercialisé AO,BETANET G,10 G,SOLUTION GYNECOLOGIQUE,BIDON DE 5 L,GYNECOLOGIE-OBSTETRIQUE,248
Commercialisé,BETASTENE,"0,0005",SOLUTION BUVABLE,FLACON DE 30 ML,ANESTHESIE-REANIMATION,30
Commercialisé,BETASTENE,2   MG,COMPRIME DISPERSIBLE,BOITE DE 20,ANESTHESIE-REANIMATION,"36,6"
Commercialisé,BIDONTOGYL,"1,5 MUI  /  250   MG",COMPRIME PELLICULE,BOITE DE 15,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"70,5"
Commercialisé AO,BLAISHAL,2   MG,GELULE,BOITE DE 10,GASTRO-ENTERO-HEPATOLOGIE,"12,1"
Commercialisé AO,BLAISHAL,2   MG,GELULE,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"20,1"
Commercialisé AO,BRUMIXOL,"0,01",CREME,TUBE DE 30 G,DERMATOLOGIE-VENEROLOGIE,"35,3"
Commercialisé AO,BRUXICAM,"0,005",CREME,TUBE DE 50 G,RHUMATOLOGIE,"47,8"
Commercialisé,BUCOPEN,1000000 UI,COMPRIME PELLICULE,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"27,1"
Commercialisé,CANAFLUCAN,150   MG,GELULE,BOITE DE 1,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"22,4"
Commercialisé AO / Export,CANAFLUCAN,150   MG,GELULE,BOITE DE 3,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"57,8"
Commercialisé,CANAFLUCAN,150   MG,GELULE,BOITE DE 7,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"131,9"
Commercialisé AO,CANAFLUCAN,50   MG,GELULE,BOITE DE 3,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"38,1"
Commercialisé AO,CANAFLUCAN,50   MG,GELULE,BOITE DE 7,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"78,3"
Commercialisé AO / Export,CANAFLUCAN,150   MG,GELULE,BOITE DE 2,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"39,5"
Commercialisé,CANAFLUCAN,150   MG,GELULE,BOITE DE 4,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"76,2"
Commercialisé AO,CEFALOTINE PHARMA,1 G,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM-IV),BOITE DE 1 FLACON ET DE 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"26,6"
Commercialisé AO,CHLORYDZAR,25   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"36,6"
Commercialisé AO,CHLORYDZAR,25   MG,COMPRIME,BOITE DE 20,CARDIOLOGIE-ANGEIOLOGIE,"24,4"
Commercialisé,CLARTEC,10   MG,COMPRIME,BOITE DE 10,PNEUMO-ALLERGO-PHTYSIOLOGIE,"20,6"
Commercialisé,CLARTEC,10   MG,COMPRIME,BOITE DE 15,PNEUMO-ALLERGO-PHTYSIOLOGIE,"29,9"
Commercialisé,CLARTEC,10   MG,COMPRIME,BOITE DE 30,PNEUMO-ALLERGO-PHTYSIOLOGIE,57
Commercialisé,CLARTEC,5   MG  /  5  ML,SUSPENSION BUVABLE,FLACON DE 120 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"43,9"
Commercialisé,CLARTEC,5   MG  /  5  ML,SUSPENSION BUVABLE,FLACON DE 60 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"24,8"
Commercialisé AO,COLLUXID,100   MG  /  250   MG,SOLUTION POUR BAIN DE BOUCHE,FLACON DE 120 ML,STOMATOLOGIE,"14,5"
Commercialisé,DAKASVIR,60   MG,COMPRIME PELLICULE,BOITE DE 28,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,1549
Commercialisé,DIAPHARM,10   MG  /  2  ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 2 ML,NEUROLOGIE-PSYCHIATRIE,"37,2"
Commercialisé AO / Export,DIAPHARM,5   MG,COMPRIME,BOITE DE 40,NEUROLOGIE-PSYCHIATRIE,"13,1"
Commercialisé AO,DIASTOP,10   MG,POUDRE ORALE EN SACHETS,BOITE DE 16,GASTRO-ENTERO-HEPATOLOGIE,"50,8"
Commercialisé AO,DIASTOP,30   MG,POUDRE ORALE EN SACHETS,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"57,6"
Commercialisé AO,DICEF,125   MG  /  5  ML,GRANULE POUR SUSPENSION BUVABLE,BOITE DE 2 FLACONS DE 50 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"107,9"
Commercialisé AO,DICEF,125   MG,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"52,1"
Commercialisé AO,DICEF,125   MG,COMPRIME PELLICULE,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"91,6"
Commercialisé AO,DICEF,250   MG  /  5  ML,GRANULE POUR SUSPENSION BUVABLE,BOITE DE 1 FLACON DE 50 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"73,1"
Commercialisé AO,DICEF,250   MG  /  5  ML,GRANULE POUR SUSPENSION BUVABLE,BOITE DE 2 FLACONS DE 50 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"127,1"
Commercialisé AO,DICEF,250   MG,COMPRIME PELLICULE,BOITE DE 14,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"87,4"
Commercialisé AO,DICEF,250   MG,COMPRIME PELLICULE,BOITE DE 28,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"153,7"
Commercialisé AO,DICEF,500   MG,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"131,9"
Commercialisé AO,DICEF,500   MG,COMPRIME PELLICULE,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,232
Commercialisé,DICLO PHARMA 5,100   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"25,7"
Commercialisé AO,DICLO PHARMA 5,25   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"11,8"
Commercialisé,DICLO PHARMA 5,50   MG,COMPRIME,BOITE DE 20,ANESTHESIE-REANIMATION,"29,1"
Commercialisé AO,DICLO PHARMA 5,50   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"22,4"
Commercialisé,DICLO PHARMA 5,75   MG  /  3  ML,SOLUTION INJECTABLE,BOITE DE 2 AMPOULES INJECTABLES,ANESTHESIE-REANIMATION,14
Commercialisé,DICLO PHARMA 5,75   MG  /  3  ML,SOLUTION INJECTABLE,BOITE DE 6 AMPOULES INJECTABLES,ANESTHESIE-REANIMATION,"39,1"
Commercialisé AO,DICLO PHARMA 5 RETARD,100   MG,COMPRIME,BOITE DE 20,ANESTHESIE-REANIMATION,"57,8"
Commercialisé AO,DICLOPHARM,25   MG,COMPRIME,BOITE DE 30,ANESTHESIE-REANIMATION,"24,5"
Commercialisé,DOLOSTOP,100   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 12 SACHETS,ANESTHESIE-REANIMATION,"7,5"
Commercialisé,DOLOSTOP,100   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 24 SACHETS,ANESTHESIE-REANIMATION,"13,2"
Commercialisé,DOLOSTOP,100   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"7,5"
Commercialisé AO,DOLOSTOP,100   MG,SUPPOSITOIRE,BOITE DE 100,ANESTHESIE-REANIMATION,"48,3"
Commercialisé,DOLOSTOP,1000   MG,COMPRIME,BOITE DE 8,ANESTHESIE-REANIMATION,"9,9"
Commercialisé,DOLOSTOP,150   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 12 SACHETS,ANESTHESIE-REANIMATION,"8,4"
Commercialisé,DOLOSTOP,150   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 24 SACHETS,ANESTHESIE-REANIMATION,"14,8"
Commercialisé,DOLOSTOP,150   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"8,4"
Commercialisé AO,DOLOSTOP,150   MG,SUPPOSITOIRE,BOITE DE 100,ANESTHESIE-REANIMATION,"49,8"
Commercialisé,DOLOSTOP,200   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 12 SACHETS,ANESTHESIE-REANIMATION,"10,5"
Commercialisé,DOLOSTOP,200   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 24 SACHETS,ANESTHESIE-REANIMATION,"18,4"
Commercialisé,DOLOSTOP,200   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"9,5"
Commercialisé AO,DOLOSTOP,200   MG,SUPPOSITOIRE,BOITE DE 100,ANESTHESIE-REANIMATION,"51,3"
Commercialisé,DOLOSTOP,300   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 12 SACHETS,ANESTHESIE-REANIMATION,21
Commercialisé,DOLOSTOP,300   MG,POUDRE POUR SUSPENSION BUVABLE,BOITE DE 24 SACHETS,ANESTHESIE-REANIMATION,12
Commercialisé,DOLOSTOP,300   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"13,7"
Commercialisé,DOLOSTOP,500   MG,COMPRIME,BOITE DE 20,ANESTHESIE-REANIMATION,"9,5"
Commercialisé,DOLOSTOP,500   MG,COMPRIME EFFERVESCENT,BOITE DE 16,ANESTHESIE-REANIMATION,"13,5"
Commercialisé AO,DOLOSTOP,80   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"9,1"
Commercialisé,DOLOSTOP,1000   MG,COMPRIME EFFERVESCENT,BOITE DE 8,ANESTHESIE-REANIMATION,12
Commercialisé,DOLOSTOP PEDIATRIQUE,"0,024",SOLUTION BUVABLE,FLACON DE 60 ML,ANESTHESIE-REANIMATION,"11,4"
Commercialisé,DOLOSTOP PEDIATRIQUE,"0,024",SOLUTION BUVABLE,FLACON DE 90 ML,ANESTHESIE-REANIMATION,"15,5"
Commercialisé EXPORT,DONTOGYL,"0,75 MUI  /  125   MG",COMPRIME PELLICULE,BOITE DE 30,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"71,9"
Commercialisé,DONTOMYCINE,"1,5 MUI",COMPRIME PELLICULE,BOITE DE 16,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"45,2"
Commercialisé,DONTOMYCINE,3 MUI,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"64,9"
Commercialisé,DURESAN,20   MG  /  2  ML,INJECTABLE,BOITE D'UNE AMPOULES INJECTABLE A 2 ML,CARDIOLOGIE-ANGEIOLOGIE,"5,6"
Commercialisé,DURESAN,40   MG,COMPRIME,BOITE DE 20,CARDIOLOGIE-ANGEIOLOGIE,"18,3"
Commercialisé AO,EOSINE PHARMA,20 G,SOLUTION,FLACON DE 1 L,DERMATOLOGIE-VENEROLOGIE,"65,5"
Commercialisé AO,EOSINE PHARMA,20 G,SOLUTION,FLACON DE 120 ML,DERMATOLOGIE-VENEROLOGIE,"13,6"
Commercialisé AO,EOSINE PHARMA,20 G,SOLUTION,FLACON DE 30 ML,DERMATOLOGIE-VENEROLOGIE,"5,7"
Commercialisé AO,EOSINE PHARMA,20 G,SOLUTION,FLACON DE 60 ML,DERMATOLOGIE-VENEROLOGIE,"8,9"
Commercialisé AO,EOSINE PHARMA,20 G,SOLUTION,FLACON DE 90 ML,DERMATOLOGIE-VENEROLOGIE,"11,3"
Commercialisé AO,ERIP-K4,150   MG  /  75   MG  /  400   MG  /  275   MG,COMPRIME,BOITE DE 30,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"107,5"
Commercialisé AO,ETHAMBUTOL PHARMA,500   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"33,4"
Commercialisé AO,ETHAMBUTOL PHARMA 5,400   MG,COMPRIME PELLICULE,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,28
Commercialisé,EUMOXOL,"15   MG  /  5  ML (0,30%)",SOLUTION BUVABLE,FLACON DE 125 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"16,8"
Commercialisé,EUMOXOL,"15   MG  /  5  ML (0,30%)",SOLUTION BUVABLE,FLACON DE 250ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"30,5"
Commercialisé,EUZOL,20   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 14,GASTRO-ENTERO-HEPATOLOGIE,"76,7"
Commercialisé,EUZOL,20   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 28,GASTRO-ENTERO-HEPATOLOGIE,"135,1"
Commercialisé,EUZOL,20   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 7,GASTRO-ENTERO-HEPATOLOGIE,43
Commercialisé,EUZOL,40   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 14,GASTRO-ENTERO-HEPATOLOGIE,"114,8"
Commercialisé,EUZOL,40   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 28,GASTRO-ENTERO-HEPATOLOGIE,201
Commercialisé,EUZOL,40   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 7,GASTRO-ENTERO-HEPATOLOGIE,"64,3"
Commercialisé,FARMADOXI,100   MG,COMPRIME,BOITE DE 10,-,"21,9"
Commercialisé,FARMADOXI,200   MG,COMPRIME,BOITE DE 10,-,"37,2"
Commercialisé EXPORT,FLEXEN,"0,025",GEL,TUBE DE 20 G,RHUMATOLOGIE,"27,2"
Commercialisé EXPORT,FLEXEN,"0,025",GEL,TUBE DE 50 G,ANESTHESIE-REANIMATION,"41,1"
Commercialisé EXPORT,FLEXEN,100   MG  /  2  ML,SOLUTE INJECTABLE IM,BOITE DE 2 AMPOULES DE 2 ML,ANESTHESIE-REANIMATION,"15,2"
Commercialisé EXPORT,FLEXEN,100   MG  /  2  ML,SOLUTE INJECTABLE IM,BOITE DE 6 AMPOULES DE 2 ML,ANESTHESIE-REANIMATION,"38,1"
Commercialisé AO,FLEXEN,100   MG,POUDRE POUR SOLUTION INJECTABLE IM,BOITE DE 6 FLACON DE LYOPHILISAT + 6 AMPOULES DE SOLVANT,ANESTHESIE-REANIMATION,"52,9"
Commercialisé AO,FLEXEN,100   MG,SOLUTION INJECTABLE (IV),BOITE DE 6 FLACON DE LYOPHILISAT + 6 AMPOULES DE SOLVANT,ANESTHESIE-REANIMATION,"52,9"
Commercialisé AO,FLEXEN,50   MG,CAPSULE,BOITE DE 20,ANESTHESIE-REANIMATION,"26,4"
Commercialisé,FLEXEN,100   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"29,7"
Commercialisé,FLUPHENAZINE DECANOATE PHARMA 5,25   MG  /   ML,SOLUTION INJECTABLE,BOITE DE 3 AMPOULES DE 1 ML,NEUROLOGIE-PSYCHIATRIE,"50,1"
Commercialisé AO,FLUSKIN,"0,0005",GEL DERMIQUE,TUBE DE 30 G,DERMATOLOGIE-VENEROLOGIE,"19,6"
Commercialisé AO,FURAZIDE,50   MG,COMPRIME,BOITE DE 21,UROLOGIE-NEPHROLOGIE,"16,2"
Commercialisé AO,FUSIDATE PHARMA 5,100   MG  /  2  ML,SUSPENSION BUVABLE,FLACON DE 50 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"76,1"
Commercialisé AO,FUSIDATE PHARMA 5,250   MG  /  5  ML,SUSPENSION BUVABLE,FLACON DE 90 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,137
Commercialisé AO,GASTROP,200   MG,COMPRIME,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"33,4"
Commercialisé AO,GATSROMED,15   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 15,GASTRO-ENTERO-HEPATOLOGIE,"37,8"
Commercialisé AO,GATSROMED,15   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"66,5"
Commercialisé AO,GATSROMED,30   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 15,GASTRO-ENTERO-HEPATOLOGIE,"54,3"
Commercialisé AO,GATSROMED,30   MG,MICROGRANULES GASTRORESISTANTS EN GELULE,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"104,9"
Commercialisé AO,GENTA,40   MG  /  2  ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"85,8"
Commercialisé AO,GENTA,80   MG  /  2  ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"95,3"
Commercialisé,GLIPHARM,5   MG,COMPRIME,BOITE DE 20,METABOLISME-DIABETE-NUTRITION,"17,1"
Commercialisé,GLIPHARM,5   MG,COMPRIME,BOITE DE 60,METABOLISME-DIABETE-NUTRITION,"33,3"
Commercialisé,GLIPHARM,5   MG,COMPRIME,BOITE DE 90,METABOLISME-DIABETE-NUTRITION,"46,7"
Commercialisé Export,GRISEOPHARM,125   MG,COMPRIME,BOITE DE 32,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"20,6"
Commercialisé,GRISEOPHARM,250   MG,COMPRIME,BOITE DE 30,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"30,7"
Commercialisé,GRISEOPHARM,500   MG,COMPRIME,BOITE DE 20,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"32,3"
Commercialisé AO,HALOPERIDOL,1   MG,COMPRIME,BOITE DE 40,NEUROLOGIE-PSYCHIATRIE,"17,1"
Commercialisé AO,HALOPERIDOL,5   MG  /   ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 1 ML,NEUROLOGIE-PSYCHIATRIE,"19,1"
Commercialisé,HALOPERIDOL PHARMA5,2   MG  /   ML,SOLUTION BUVABLE,FLACON DE 15 ML,NEUROLOGIE-PSYCHIATRIE,"12,3"
Commercialisé AO,HELZOL,80   MG,COMPRIME,BOITE DE 20,METABOLISME-DIABETE-NUTRITION,"20,9"
Commercialisé AO,HELZOL,80   MG,COMPRIME,BOITE DE 60,METABOLISME-DIABETE-NUTRITION,57
Commercialisé AO,HEXAMIDINE PHARMA5,"0,001",SOLUTION POUR APPLICATION LOCALE,FLACON DE 45 ML,DERMATOLOGIE-VENEROLOGIE,"12,6"
Commercialisé AO,HISTAZINE,50   MG  /  2  ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES,PNEUMO-ALLERGO-PHTYSIOLOGIE,"9,1"
Commercialisé,IMMUNORHO,300 µG (1500 UI),POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,1 FLACON,GYNECOLOGIE-OBSTETRIQUE,687
Commercialisé,INDOPHARM,25   MG,GELULE,BOITE DE 30,ANESTHESIE-REANIMATION,19
Commercialisé,INDOPHARM,50   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"13,6"
Commercialisé,INDOPHARM,100   MG,SUPPOSITOIRE,BOITE DE 10,ANESTHESIE-REANIMATION,"19,8"
Commercialisé AO / Export,KANAMED PHARMA,1 G,POUDRE POUR SOLUTION INJECTABLE,1 FLACON DE POUDRE ET DE 1 AMPOULE DESOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"16,8"
Commercialisé AO,KEFOTAX,1 G,POUDRE POUR SOLUTION INJECTABLE (IM-IV),1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"64,5"
Commercialisé AO,KEFOTAX,1 G,POUDRE POUR SOLUTION INJECTABLE IM,1 FLACON DE POUDRE ET 1 AMPOULE DE SOLVANT,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"64,5"
Commercialisé,KOPRED,20   MG,COMPRIME EFFERVESCENT,BOITE DE 20,PNEUMO-ALLERGO-PHTYSIOLOGIE,"36,4"
Commercialisé,KOPRED,5   MG,COMPRIME EFFERVESCENT,BOITE DE 30,PNEUMO-ALLERGO-PHTYSIOLOGIE,23
Commercialisé,LEFLOX PHARMA 5,500   MG,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"130,4"
Non Commercialisé,LEFLOX PHARMA 5,500   MG,COMPRIME PELLICULE,BOITE DE 14,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"182,5"
Commercialisé,LEFLOX PHARMA 5,500   MG,COMPRIME PELLICULE,BOITE DE 5,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"74,1"
Non Commercialisé,LEVOTEC,5   MG,COMPRIME PELLICULE,BOITE DE 14,PNEUMO-ALLERGO-PHTYSIOLOGIE,"37,4"
Non Commercialisé,LEVOTEC,5   MG,COMPRIME PELLICULE,BOITE DE 28,PNEUMO-ALLERGO-PHTYSIOLOGIE,"65,9"
Non Commercialisé,LEVOTEC,5   MG,COMPRIME PELLICULE,BOITE DE 7,PNEUMO-ALLERGO-PHTYSIOLOGIE,21
Commercialisé AO,LEVOZINE PHARMA 5,"0,04",SOLUTION BUVABLE,FLACON COMPTE GOUTTES 125 ML,NEUROLOGIE-PSYCHIATRIE,"100,7"
Commercialisé AO,LEVOZINE PHARMA 5,"0,04",SOLUTION BUVABLE,FLACON COMPTE GOUTTES 30 ML,NEUROLOGIE-PSYCHIATRIE,"30,6"
Commercialisé AO,LEVOZINE PHARMA 5,100   MG,COMPRIME PELLICULE,BOITE DE 20,NEUROLOGIE-PSYCHIATRIE,"37,5"
Commercialisé AO,LEVOZINE PHARMA 5,25   MG,COMPRIME PELLICULE,BOITE DE 20,NEUROLOGIE-PSYCHIATRIE,"15,2"
Non Commercialisé,LIPTORVA,20   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"50,9"
Commercialisé,LIPTORVA,20   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"90,8"
Non Commercialisé,LIPTORVA,20   MG,COMPRIME PELLICULE,BOITE DE 56,CARDIOLOGIE-ANGEIOLOGIE,"159,9"
Non Commercialisé,LIPTORVA,40   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"82,3"
Commercialisé,LIPTORVA,40   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"109,2"
Non Commercialisé,LIPTORVA,40   MG,COMPRIME PELLICULE,BOITE DE 56,CARDIOLOGIE-ANGEIOLOGIE,"192,2"
Non Commercialisé,LIPTORVA,80   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"74,8"
Non Commercialisé,LIPTORVA,80   MG,COMPRIME PELLICULE,BOITE DE 56,CARDIOLOGIE-ANGEIOLOGIE,"133,6"
Non Commercialisé,LIPTORVA,80   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,219
Non Commercialisé,LOSARTAN PHARMA 5,100   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"77,3"
Non Commercialisé,LOSARTAN PHARMA 5,100   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"138,1"
Non Commercialisé,LOSARTAN PHARMA 5,100   MG,COMPRIME PELLICULE,BOITE DE 7,CARDIOLOGIE-ANGEIOLOGIE,"39,7"
Non Commercialisé,LOSARTAN PHARMA 5,50   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,40
Non Commercialisé,LOSARTAN PHARMA 5,50   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"77,2"
Non Commercialisé,LOSARTAN PHARMA 5,50   MG,COMPRIME PELLICULE,BOITE DE 7,CARDIOLOGIE-ANGEIOLOGIE,"22,7"
Commercialisé,MACROCID,500   MG,COMPRIME,BOITE DE 20,DERMATOLOGIE-VENEROLOGIE,"77,5"
Commercialisé AO / Export,MACROMAX,100   MG,SACHET,BOITE DE 3,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"47,7"
Commercialisé,MACROMAX,200   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 15 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"56,1"
Commercialisé,MACROMAX,200   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLACON DE 30 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"68,2"
Commercialisé AO / Export,MACROMAX,200   MG,SACHET,BOITE DE 3,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"83,2"
Commercialisé AO / Export,MACROMAX,300   MG,SACHET,BOITE DE 3,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"126,2"
Commercialisé AO / Export,MACROMAX,400   MG,SACHET,BOITE DE 3,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"167,3"
Commercialisé,MACROMAX,500   MG,COMPRIME,BOITE DE 3,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"58,9"
Commercialisé,MEGASFON,150   MG  /  150   MG,SUPPOSITOIRE,BOITE DE 8,GASTRO-ENTERO-HEPATOLOGIE,"18,3"
Commercialisé,MEGASFON,160   MG,COMPRIME ORODISPERSIBLE,BOITE DE 10,GASTRO-ENTERO-HEPATOLOGIE,"30,8"
Commercialisé,MEGASFON,160   MG,COMPRIME ORODISPERSIBLE,BOITE DE 20,GASTRO-ENTERO-HEPATOLOGIE,"54,5"
Commercialisé,MEGASFON,80   MG,COMPRIME ORODISPERSIBLE,BOITE DE 10,GASTRO-ENTERO-HEPATOLOGIE,"18,3"
